Rooms,Type,Price,Distance,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Regionname,Propertycount
2,u,,6.2,2,2,157,,1975,Moonee Valley City Council,Western Metropolitan,6232
4,h,,6.2,1,1,842,,1877,Moonee Valley City Council,Western Metropolitan,6232
1,u,222000,6.2,1,0,0,29,2012,Moonee Valley City Council,Western Metropolitan,6232
2,t,750000,6.2,,,,,,Moonee Valley City Council,Western Metropolitan,6232
2,t,750000,6.2,,,,,,Moonee Valley City Council,Western Metropolitan,6232
4,h,1289000,14.3,2,1,532,,,Kingston City Council,Southern Metropolitan,2555
3,h,,14.3,2,2,340,,,Kingston City Council,Southern Metropolitan,2555
4,h,651000,26.5,2,2,854,,,Yarra Ranges Shire Council,Eastern Victoria,8280
3,h,581000,26.5,1,2,484,102,1970,Yarra Ranges Shire Council,Eastern Victoria,8280
6,h,,26.5,3,3,988,275,1986,Yarra Ranges Shire Council,Eastern Victoria,8280
4,t,1320000,21.5,,,,,,Kingston City Council,South-Eastern Metropolitan,3650
4,h,1350000,21.5,2,2,314,,1995,Kingston City Council,South-Eastern Metropolitan,3650
4,h,1150000,21.5,2,2,603,194,2004,Kingston City Council,South-Eastern Metropolitan,3650
2,u,470500,21.5,1,1,0,,1970,Kingston City Council,South-Eastern Metropolitan,3650
3,t,870000,21.5,,,,,,Kingston City Council,South-Eastern Metropolitan,3650
4,t,,21.5,2,2,345,152,2009,Kingston City Council,South-Eastern Metropolitan,3650
2,u,645000,21.5,,,,,,Kingston City Council,South-Eastern Metropolitan,3650
3,h,1530000,14.2,1,2,810,,,Monash City Council,Eastern Metropolitan,13366
3,h,1570000,14.2,,,,,,Monash City Council,Eastern Metropolitan,13366
3,t,,14.2,,,,,,Monash City Council,Eastern Metropolitan,13366
4,h,1352000,14.2,3,2,708,150,1960,Monash City Council,Eastern Metropolitan,13366
3,h,1360000,14.2,2,2,710,,,Monash City Council,Eastern Metropolitan,13366
3,h,1530000,14.2,1,1,750,,1970,Monash City Council,Eastern Metropolitan,13366
3,h,1600000,14.2,,,,,,Monash City Council,Eastern Metropolitan,13366
4,h,1728000,14.2,3,2,720,249,1960,Monash City Council,Eastern Metropolitan,13366
3,u,950000,14.2,,,,,,Monash City Council,Eastern Metropolitan,13366
4,h,2000000,18.8,4,2,905,446,,Monash City Council,South-Eastern Metropolitan,7113
3,h,901000,18.8,1,2,801,,,Monash City Council,South-Eastern Metropolitan,7113
3,h,757500,18.8,2,1,145,,,Monash City Council,South-Eastern Metropolitan,7113
3,h,757000,18.8,1,1,664,,,Monash City Council,South-Eastern Metropolitan,7113
4,h,902000,18.8,2,4,726,165,1960,Monash City Council,South-Eastern Metropolitan,7113
3,t,900000,10.1,2,2,238,,1998,Glen Eira City Council,Southern Metropolitan,4442
4,h,,10.1,2,2,592,,,Glen Eira City Council,Southern Metropolitan,4442
2,u,660000,10.1,1,1,109,,,Glen Eira City Council,Southern Metropolitan,4442
3,h,1561000,10.1,1,2,627,132,1930,Glen Eira City Council,Southern Metropolitan,4442
4,h,1005000,6.2,1,1,390,,,Hobsons Bay City Council,Western Metropolitan,5498
3,h,1300000,10.4,1,4,646,150,1950,Moonee Valley City Council,Western Metropolitan,2291
4,h,1751000,10.4,3,2,564,500,,Moonee Valley City Council,Western Metropolitan,2291
4,u,,22.7,2,2,371,,,Greater Dandenong City Council,South-Eastern Metropolitan,11806
3,h,635000,22.7,1,4,585,,,Greater Dandenong City Council,South-Eastern Metropolitan,11806
3,h,,22.7,2,2,940,157,1958,Greater Dandenong City Council,South-Eastern Metropolitan,11806
3,u,,22.7,2,1,208,102,2002,Greater Dandenong City Council,South-Eastern Metropolitan,11806
1,h,1000000,1.8,1,0,133,,,Melbourne City Council,Northern Metropolitan,6821
2,u,,1.8,2,1,0,,,Melbourne City Council,Northern Metropolitan,6821
2,t,,1.8,,,,,,Melbourne City Council,Northern Metropolitan,6821
1,t,780000,1.8,1,0,37,,,Melbourne City Council,Northern Metropolitan,6821
2,u,550000,1.8,1,1,0,,,Melbourne City Council,Northern Metropolitan,6821
1,u,,1.8,1,2,0,,2000,Melbourne City Council,Northern Metropolitan,6821
2,h,1001000,5.3,1,0,166,,,Darebin City Council,Northern Metropolitan,11364
2,h,905000,5.3,1,0,114,,,Darebin City Council,Northern Metropolitan,11364
3,h,1305000,5.3,1,0,375,,1999,Darebin City Council,Northern Metropolitan,11364
3,h,1516000,5.3,1,2,504,,,Darebin City Council,Northern Metropolitan,11364
2,u,503000,5.3,1,1,0,,1970,Darebin City Council,Northern Metropolitan,11364
2,u,555000,5.3,,,,,,Darebin City Council,Northern Metropolitan,11364
3,h,,5.3,,,,,,Darebin City Council,Northern Metropolitan,11364
3,u,840000,16.7,1,1,390,118,1970,Monash City Council,Southern Metropolitan,902
4,h,1430000,15.4,3,2,616,212,,Manningham City Council,Eastern Metropolitan,4973
3,t,,15.4,3,2,405,226,2000,Manningham City Council,Eastern Metropolitan,4973
3,t,,15.4,3,2,405,226,2000,Manningham City Council,Eastern Metropolitan,4973
3,h,913000,15.4,2,1,431,,,Manningham City Council,Eastern Metropolitan,4973
5,h,1060000,15.4,3,2,766,274,1970,Manningham City Council,Eastern Metropolitan,4973
3,u,806000,15.4,1,2,319,,,Manningham City Council,Eastern Metropolitan,4973
3,h,840000,11.2,1,1,722,115,1960,Moreland City Council,Northern Metropolitan,2651
4,h,,11.2,2,1,287,138,2005,Moreland City Council,Northern Metropolitan,2651
4,h,1071888,11.2,2,4,553,190,2001,Moreland City Council,Northern Metropolitan,2651
2,t,790000,11.2,2,1,208,127,2010,Moreland City Council,Northern Metropolitan,2651
3,t,820000,12.3,2,1,200,130,2013,Monash City Council,Southern Metropolitan,2547
3,h,1218500,15.5,1,2,673,101,1950,Kingston City Council,South-Eastern Metropolitan,3692
3,h,1110000,15.5,,,,,,Kingston City Council,South-Eastern Metropolitan,3692
3,t,985000,11.4,,,,,,Glen Eira City Council,Southern Metropolitan,3578
2,h,695000,11.4,1,1,126,75.45,1970,Glen Eira City Council,Southern Metropolitan,3578
3,h,940000,21.5,2,2,454,122,1950,Kingston City Council,South-Eastern Metropolitan,5087
4,h,1300000,21.5,2,2,597,150,1970,Kingston City Council,South-Eastern Metropolitan,5087
5,h,,21.5,3,3,760,,1950,Kingston City Council,South-Eastern Metropolitan,5087
3,h,,1.8,2,1,194,199,1900,Melbourne City Council,Northern Metropolitan,2309
3,t,850000,1.8,1,1,2429,,,Melbourne City Council,Northern Metropolitan,2309
2,u,900000,1.8,2,1,2431,,,Melbourne City Council,Northern Metropolitan,2309
4,h,1260000,8.5,2,5,669,,,Moreland City Council,Northern Metropolitan,7485
3,t,800000,8.5,,,,,,Moreland City Council,Northern Metropolitan,7485
3,h,1199000,8.5,2,4,689,165.5,1950,Moreland City Council,Northern Metropolitan,7485
3,h,,31.2,2,2,315,202,2000,Kingston City Council,South-Eastern Metropolitan,3351
4,h,,14.7,3,2,629,629,,Wyndham City Council,Western Metropolitan,15542
5,h,720000,14.7,,,,,,Wyndham City Council,Western Metropolitan,15542
4,h,550000,14.7,2,2,464,,,Wyndham City Council,Western Metropolitan,15542
3,h,,3.5,1,0,330,144.65,1915,Melbourne City Council,Southern Metropolitan,8648
2,h,1355000,3.5,1,0,156,,,Melbourne City Council,Southern Metropolitan,8648
3,t,1388000,3.5,2,2,104,146,2015,Melbourne City Council,Southern Metropolitan,8648
1,h,964000,3.5,1,0,85,,,Melbourne City Council,Southern Metropolitan,8648
4,h,1805000,4.6,2,1,105,,,Stonnington City Council,Southern Metropolitan,7717
3,t,1420000,4.6,2,2,187,,,Stonnington City Council,Southern Metropolitan,7717
2,u,735000,4.6,1,1,0,,,Stonnington City Council,Southern Metropolitan,7717
1,u,440000,4.6,1,1,0,44,2015,Stonnington City Council,Southern Metropolitan,7717
3,h,2200000,4.6,2,2,142,,2000,Stonnington City Council,Southern Metropolitan,7717
3,h,,4.6,2,2,175,79,1950,Stonnington City Council,Southern Metropolitan,7717
4,h,2300000,4.6,2,2,291,263.5,1890,Stonnington City Council,Southern Metropolitan,7717
2,h,727000,8.4,1,0,,,,Darebin City Council,Northern Metropolitan,14577
2,h,674000,8.4,,,,,,Darebin City Council,Northern Metropolitan,14577
3,h,1017500,8.4,1,2,592,,,Darebin City Council,Northern Metropolitan,14577
2,h,1050000,8.4,1,1,688,,,Darebin City Council,Northern Metropolitan,14577
4,h,840000,8.4,1,1,313,113,1950,Darebin City Council,Northern Metropolitan,14577
4,h,1145000,12,,,,,,Darebin City Council,Northern Metropolitan,21650
3,h,890000,12,,,,,,Darebin City Council,Northern Metropolitan,21650
3,u,510000,12,1,1,178,100,2009,Darebin City Council,Northern Metropolitan,21650
4,h,,12,2,2,755,,1960,Darebin City Council,Northern Metropolitan,21650
4,h,930000,12,1,5,700,,,Darebin City Council,Northern Metropolitan,21650
3,h,635000,12,2,2,247,,,Darebin City Council,Northern Metropolitan,21650
2,h,850000,12,1,2,494,,,Darebin City Council,Northern Metropolitan,21650
3,h,780000,12,1,2,893,103,1940,Darebin City Council,Northern Metropolitan,21650
2,h,,12,,,,,,Darebin City Council,Northern Metropolitan,21650
2,h,1172000,2.4,1,0,155,,,Yarra City Council,Northern Metropolitan,14949
2,h,,2.4,1,1,168,86,1890,Yarra City Council,Northern Metropolitan,14949
3,t,1255000,2.4,2,1,124,123,2008,Yarra City Council,Northern Metropolitan,14949
2,h,1275000,2.4,1,1,110,72,1890,Yarra City Council,Northern Metropolitan,14949
1,u,433000,2.4,,,,,,Yarra City Council,Northern Metropolitan,14949
3,h,1120000,2.4,2,2,134,149,2007,Yarra City Council,Northern Metropolitan,14949
2,u,645000,2.4,,,,,,Yarra City Council,Northern Metropolitan,14949
3,h,1190000,2.4,2,1,105,110,1997,Yarra City Council,Northern Metropolitan,14949
1,u,534000,2.4,1,1,1347,,2003,Yarra City Council,Northern Metropolitan,14949
3,h,1425000,2.4,3,3,81,81,2000,Yarra City Council,Northern Metropolitan,14949
2,u,650000,2.4,2,1,2226,,2011,Yarra City Council,Northern Metropolitan,14949
5,h,,47.4,1,8,4700,,,Macedon Ranges Shire Council,Northern Victoria,1475
2,u,475000,19.9,1,2,750,,1975,Maroondah City Council,Eastern Metropolitan,7785
3,h,742000,19.9,,,,,,Maroondah City Council,Eastern Metropolitan,7785
3,t,,19.9,,,,,,Maroondah City Council,Eastern Metropolitan,7785
3,h,800000,19.9,1,1,737,,,Maroondah City Council,Eastern Metropolitan,7785
3,h,,19.9,1,0,1028,,,Maroondah City Council,Eastern Metropolitan,7785
3,h,,19.9,2,0,420,,,Maroondah City Council,Eastern Metropolitan,7785
4,h,1175000,21.3,2,1,842,135,1960,Maroondah City Council,Eastern Metropolitan,4407
2,u,,21.3,1,1,272,,,Maroondah City Council,Eastern Metropolitan,4407
4,h,,21.3,,,,,,Maroondah City Council,Eastern Metropolitan,4407
3,h,755000,19.9,2,2,306,127,1997,Manningham City Council,Eastern Metropolitan,3619
3,h,,19.9,,,,,,Manningham City Council,Eastern Metropolitan,3619
2,u,602000,19.9,1,1,209,,1996,Manningham City Council,Eastern Metropolitan,3619
5,h,,19.9,2,2,652,,1975,Manningham City Council,Eastern Metropolitan,3619
3,h,,8.9,,,,,,Banyule City Council,Eastern Metropolitan,3540
3,h,,8.9,,,,,,Banyule City Council,Eastern Metropolitan,3540
4,h,1005800,23.5,2,2,502,320,2003,Knox City Council,South-Eastern Metropolitan,11667
4,h,1275000,23.5,2,2,726,,,Knox City Council,South-Eastern Metropolitan,11667
4,h,,20.6,2,1,465,152,2002,Hume City Council,Northern Metropolitan,5833
3,u,760000,15.2,1,1,178,,,Bayside City Council,Southern Metropolitan,4497
4,h,,15.5,2,2,520,,,Hobsons Bay City Council,Western Metropolitan,1793
3,h,782500,35.4,2,2,603,,,Frankston City Council,South-Eastern Metropolitan,8077
4,h,1410000,11,1,2,521,,,Hobsons Bay City Council,Western Metropolitan,852
3,h,900000,5.1,1,0,194,,,Maribyrnong City Council,Western Metropolitan,2417
1,u,322500,5.1,1,1,0,,,Maribyrnong City Council,Western Metropolitan,2417
3,h,900000,5.1,1,1,252,120,,Maribyrnong City Council,Western Metropolitan,2417
4,h,555698,34.7,2,1,534,152,2002,Frankston City Council,South-Eastern Metropolitan,2756
3,u,1250000,1.9,2,3,0,113,2001,Port Phillip City Council,Southern Metropolitan,5943
4,u,2920000,1.9,,,,,,Port Phillip City Council,Southern Metropolitan,5943
2,u,,1.9,1,2,645,,,Port Phillip City Council,Southern Metropolitan,5943
1,h,407500,1.9,1,1,0,53,2000,Port Phillip City Council,Southern Metropolitan,5943
3,t,,1.9,,,,,,Port Phillip City Council,Southern Metropolitan,5943
4,h,630500,20.5,,,,,,Whittlesea City Council,Northern Metropolitan,7969
3,h,510000,20.5,,,,,,Whittlesea City Council,Northern Metropolitan,7969
2,u,810000,2.7,,,,,,Melbourne City Council,Southern Metropolitan,14887
2,t,1050000,2.7,1,1,0,,,Melbourne City Council,Southern Metropolitan,14887
2,u,771000,2.7,1,1,1272,,,Melbourne City Council,Southern Metropolitan,14887
2,u,642500,0.7,1,1,8888,77,1994,Melbourne City Council,Southern Metropolitan,8400
1,u,422500,0.7,1,1,3878,,2012,Melbourne City Council,Southern Metropolitan,8400
5,h,,14,,,,,,Brimbank City Council,Western Metropolitan,14042
3,t,460000,14,1,1,160,129,2000,Brimbank City Council,Western Metropolitan,14042
3,h,,14,1,3,546,120,1980,Brimbank City Council,Western Metropolitan,14042
3,h,610000,14,1,1,582,116,1960,Brimbank City Council,Western Metropolitan,14042
3,h,621000,14,,,,,,Brimbank City Council,Western Metropolitan,14042
3,h,630000,14,1,2,524,,,Brimbank City Council,Western Metropolitan,14042
3,h,,14,,,,,,Brimbank City Council,Western Metropolitan,14042
3,h,,14,1,0,574,,,Brimbank City Council,Western Metropolitan,14042
3,u,500000,14,1,1,388,95,1992,Brimbank City Council,Western Metropolitan,14042
2,u,615000,5,1,1,1123,84,1920,Port Phillip City Council,Southern Metropolitan,13240
2,h,,5,,,,,,Port Phillip City Council,Southern Metropolitan,13240
3,h,1200000,8.2,,,,,,Moonee Valley City Council,Western Metropolitan,3284
3,h,455000,31.7,1,6,639,120,1990,Hume City Council,Western Metropolitan,14092
4,h,,10.5,2,2,158,223,2008,Brimbank City Council,Western Metropolitan,3755
4,u,660000,10.5,2,2,283,,2007,Brimbank City Council,Western Metropolitan,3755
3,h,810000,10.5,1,2,459,114,1970,Brimbank City Council,Western Metropolitan,3755
3,h,805000,10.5,1,2,631,115,1965,Brimbank City Council,Western Metropolitan,3755
3,h,,10.5,,,,,,Brimbank City Council,Western Metropolitan,4217
2,u,,10.5,1,1,177,90,1998,Brimbank City Council,Western Metropolitan,4217
3,h,453000,10.5,1,1,305,,2006,Brimbank City Council,Western Metropolitan,6763
2,u,,10.5,1,0,93,,,Brimbank City Council,Western Metropolitan,6763
2,u,807000,10.2,1,1,1501,84,1960,Boroondara City Council,Southern Metropolitan,5457
3,h,1310000,10.2,,,,,,Boroondara City Council,Southern Metropolitan,5457
3,u,780000,10.2,1,1,149,,,Boroondara City Council,Southern Metropolitan,5457
5,h,,10.2,3,2,724,291,1990,Boroondara City Council,Southern Metropolitan,5457
5,h,,10.2,3,2,858,,,Boroondara City Council,Southern Metropolitan,5457
3,h,471000,18,2,1,338,114,2000,Brimbank City Council,Western Metropolitan,3640
3,h,545000,18.4,,,,,,Wyndham City Council,Western Metropolitan,10160
4,h,,18.4,,,,,,Wyndham City Council,Western Metropolitan,10160
3,h,558000,18,2,2,431,431,2008,Melton City Council,Western Metropolitan,4242
5,h,780000,15.5,2,2,663,230,1996,Brimbank City Council,Western Metropolitan,5336
3,h,780000,15.5,,,,,,Brimbank City Council,Western Metropolitan,5336
4,h,715000,15.5,3,2,679,,,Brimbank City Council,Western Metropolitan,5336
4,h,2000000,15.5,2,2,457,585,,Manningham City Council,Eastern Metropolitan,6202
4,h,1450000,15.5,,,,,,Manningham City Council,Eastern Metropolitan,6202
3,h,1240000,12.4,2,1,673,150,1965,Manningham City Council,Eastern Metropolitan,5420
3,h,,7,2,2,161,122,2012,Darebin City Council,Northern Metropolitan,8870
2,t,756000,7,1,1,0,103,2010,Darebin City Council,Northern Metropolitan,8870
3,t,750000,7,,,,,,Darebin City Council,Northern Metropolitan,8870
3,h,1100000,7,,,,,,Darebin City Council,Northern Metropolitan,8870
2,t,700000,7,,,,,,Darebin City Council,Northern Metropolitan,8870
2,h,1205500,7,1,1,361,,,Darebin City Council,Northern Metropolitan,8870
3,h,1031000,7,1,2,612,,1950,Darebin City Council,Northern Metropolitan,8870
3,h,2500000,4.1,2,2,440,,,Stonnington City Council,Southern Metropolitan,7217
4,h,6460000,4.1,,,,,,Stonnington City Council,Southern Metropolitan,7217
3,h,,4.1,2,2,330,,,Stonnington City Council,Southern Metropolitan,7217
5,h,,4.1,5,6,790,25,2008,Stonnington City Council,Southern Metropolitan,7217
4,h,3750000,4.1,,,,,,Stonnington City Council,Southern Metropolitan,7217
2,u,,4.1,2,2,1488,,,Stonnington City Council,Southern Metropolitan,7217
5,h,1041000,17.2,3,2,724,,,Maroondah City Council,Eastern Metropolitan,4181
4,h,1050000,17.2,2,2,651,187,1975,Whitehorse City Council,Eastern Metropolitan,4280
4,h,1208000,17.2,2,2,785,,,Whitehorse City Council,Eastern Metropolitan,4280
3,h,940000,8.9,2,2,541,540,1960,Banyule City Council,Eastern Metropolitan,2698
3,h,,14.7,2,2,602,,,Knox City Council,Eastern Metropolitan,5424
4,h,2020000,14.7,2,2,1183,,,Knox City Council,Eastern Metropolitan,7082
3,h,835000,14.5,2,1,447,,1997,Banyule City Council,Northern Metropolitan,2329
3,h,1010000,14.5,1,2,700,,,Banyule City Council,Northern Metropolitan,2329
3,h,830000,14.5,1,2,696,,,Banyule City Council,Northern Metropolitan,2329
3,h,,14.5,2,2,301,120,1990,Banyule City Council,Northern Metropolitan,1442
3,h,442000,14.7,1,1,575,,,Wyndham City Council,Western Metropolitan,16166
3,h,830000,14.7,2,2,1025,195,1970,Wyndham City Council,Western Metropolitan,16166
3,h,700000,6.4,,,,,,Maribyrnong City Council,Western Metropolitan,5058
3,t,550000,16.5,,,,,,Hume City Council,Northern Metropolitan,2474
2,h,736500,16.7,,,,,,Monash City Council,South-Eastern Metropolitan,7392
3,h,1400000,4.6,1,0,364,,,Port Phillip City Council,Southern Metropolitan,4380
1,u,447500,4.6,,,,,,Port Phillip City Council,Southern Metropolitan,4380
3,u,,27.2,,,,,,Wyndham City Council,Western Metropolitan,5262
4,h,1000000,12.7,,,,,,Banyule City Council,Northern Metropolitan,1369
3,h,,6.3,1,0,249,108,1890,Maribyrnong City Council,Western Metropolitan,6543
4,h,1035000,6.3,2,3,463,,,Maribyrnong City Council,Western Metropolitan,6543
3,t,,6.3,1,1,136,,,Maribyrnong City Council,Western Metropolitan,6543
3,h,855000,3,2,1,92,116,2004,Yarra City Council,Northern Metropolitan,4019
3,h,1210000,7.5,1,6,645,,,Moonee Valley City Council,Western Metropolitan,1543
3,u,737500,10.4,2,2,143,,2012,Moonee Valley City Council,Western Metropolitan,3464
4,h,,10.4,,,,,,Moonee Valley City Council,Western Metropolitan,3464
4,h,1425000,10.4,,,,,,Moonee Valley City Council,Western Metropolitan,3464
3,h,905000,10.4,1,2,573,,1965,Moonee Valley City Council,Western Metropolitan,3464
3,h,526500,14,1,2,529,,,Brimbank City Council,Western Metropolitan,1899
4,h,,3,4,1,208,,,Port Phillip City Council,Southern Metropolitan,3280
2,u,685000,3,1,0,324,58,1930,Port Phillip City Council,Southern Metropolitan,3280
3,h,1800000,3,1,1,130,,,Port Phillip City Council,Southern Metropolitan,3280
2,h,1515000,3,,,,,,Port Phillip City Council,Southern Metropolitan,3280
4,h,1800000,5.7,1,2,605,,,Darebin City Council,Northern Metropolitan,2211
1,h,330000,5.7,1,1,60,40,1970,Darebin City Council,Northern Metropolitan,2211
3,h,1020000,11,1,2,570,,,Hobsons Bay City Council,Western Metropolitan,5301
3,h,1280000,11,1,1,798,,,Hobsons Bay City Council,Western Metropolitan,5301
4,h,,11,2,2,704,,,Hobsons Bay City Council,Western Metropolitan,5301
3,h,825000,9.4,,,,,,Hobsons Bay City Council,Western Metropolitan,5132
3,h,875000,9.4,1,4,563,,,Hobsons Bay City Council,Western Metropolitan,5132
5,h,5925000,6.3,,,,,,Stonnington City Council,Southern Metropolitan,4836
3,h,,4.3,1,1,449,,,Moonee Valley City Council,Western Metropolitan,6567
4,h,,4.3,2,1,274,,,Moonee Valley City Council,Western Metropolitan,6567
3,h,1010000,4.3,2,1,150,125,1990,Moonee Valley City Council,Western Metropolitan,6567
4,h,,4.3,3,2,615,219,1900,Moonee Valley City Council,Western Metropolitan,6567
3,u,819000,4.3,2,1,166,,,Moonee Valley City Council,Western Metropolitan,6567
3,h,990000,4.3,1,0,196,102,1900,Moonee Valley City Council,Western Metropolitan,6567
3,t,1200000,4.3,2,2,198,,,Moonee Valley City Council,Western Metropolitan,6567
3,h,1375000,4.3,1,2,483,,,Moonee Valley City Council,Western Metropolitan,6567
3,h,1100000,4.3,2,2,239,,,Moonee Valley City Council,Western Metropolitan,6567
3,h,1850000,10.2,2,2,720,,,Boroondara City Council,Southern Metropolitan,3052
4,h,1425000,10.2,1,2,778,,,Monash City Council,Southern Metropolitan,2894
2,u,,21.5,1,1,0,55,1965,Kingston City Council,South-Eastern Metropolitan,2824
4,h,773000,9.5,2,2,344,235,2004,Moonee Valley City Council,Western Metropolitan,4502
3,h,1475000,6.4,2,1,147,,,Port Phillip City Council,Southern Metropolitan,2952
5,h,2180000,7.9,3,2,646,35,,Boroondara City Council,Southern Metropolitan,5682
6,h,,7.9,0,0,950,,,Boroondara City Council,Southern Metropolitan,5682
3,h,1280000,7.9,,,,,,Boroondara City Council,Southern Metropolitan,5682
2,h,1231000,7.9,,,,,,Boroondara City Council,Southern Metropolitan,5682
2,h,1500000,9.7,1,1,943,,,Boroondara City Council,Southern Metropolitan,7809
4,h,,9.7,2,1,706,200,1950,Boroondara City Council,Southern Metropolitan,7809
5,h,3200000,9.7,3,2,836,168,1970,Boroondara City Council,Southern Metropolitan,7809
5,h,,9.7,3,2,944,,,Boroondara City Council,Southern Metropolitan,7809
2,u,682000,9.7,1,1,140,,1970,Boroondara City Council,Southern Metropolitan,7809
2,h,1453000,9.7,,,,,,Boroondara City Council,Southern Metropolitan,7809
4,h,1863000,9.7,,,,,,Boroondara City Council,Southern Metropolitan,7809
4,h,1700000,9.7,,,,,,Boroondara City Council,Southern Metropolitan,7809
4,h,1030000,23.2,2,2,1094,197,,Knox City Council,Eastern Metropolitan,5030
4,h,,23.2,2,3,736,162,1970,Knox City Council,Eastern Metropolitan,5030
3,h,,23.2,1,3,735,,,Knox City Council,Eastern Metropolitan,5030
3,u,700000,23.2,2,2,535,,,Maroondah City Council,Eastern Metropolitan,3598
4,h,675000,39.8,2,2,1031,161,1960,Cardinia Shire Council,Eastern Victoria,973
5,h,,17.3,,,,,,Bayside City Council,Southern Metropolitan,5366
2,t,945000,17.3,,,,,,Bayside City Council,Southern Metropolitan,5366
2,u,,11.4,1,2,258,121.63,,Glen Eira City Council,Southern Metropolitan,6795
5,h,1900000,11.4,1,2,644,,,Glen Eira City Council,Southern Metropolitan,6795
3,t,1303000,13.8,,,,,,Glen Eira City Council,Southern Metropolitan,10969
3,h,1410000,13.8,2,3,722,736,,Glen Eira City Council,Southern Metropolitan,10969
3,t,817000,13.8,1,2,332,,,Glen Eira City Council,Southern Metropolitan,10969
4,h,1815000,13.8,3,2,933,107,1960,Glen Eira City Council,Southern Metropolitan,10969
4,t,,13.8,,,,,,Glen Eira City Council,Southern Metropolitan,10969
3,h,1225000,13.8,1,2,580,129,1950,Glen Eira City Council,Southern Metropolitan,10969
4,t,1430000,13.8,,,,,,Glen Eira City Council,Southern Metropolitan,10969
3,h,690000,35.2,2,2,703,153,1980,Casey City Council,Eastern Victoria,17093
3,h,880000,13.4,1,1,335,110,1960,Whitehorse City Council,Eastern Metropolitan,5713
4,h,1562000,13.4,2,1,592,,,Whitehorse City Council,Eastern Metropolitan,5713
3,t,1300000,13.4,,,,,,Whitehorse City Council,Eastern Metropolitan,5713
3,h,1530000,13.4,1,2,785,,,Whitehorse City Council,Eastern Metropolitan,5713
2,h,,13.4,2,1,188,,,Whitehorse City Council,Eastern Metropolitan,2867
4,h,,13.4,2,2,594,,,Whitehorse City Council,Eastern Metropolitan,4387
3,h,,13.4,1,1,822,,,Whitehorse City Council,Eastern Metropolitan,4387
3,h,1264000,13.4,1,2,579,126,1960,Whitehorse City Council,Eastern Metropolitan,4387
6,h,2150500,10.9,3,3,786,,,Whitehorse City Council,Eastern Metropolitan,4605
3,h,1755000,10.9,,,,,,Whitehorse City Council,Eastern Metropolitan,4605
3,h,810000,8.6,1,2,649,,,Maribyrnong City Council,Western Metropolitan,3589
2,h,570000,8.6,1,2,567,74,1950,Maribyrnong City Council,Western Metropolitan,3589
3,h,2655000,10.5,2,2,697,183,1991,Bayside City Council,Southern Metropolitan,10579
3,t,3275000,10.5,2,3,289,371.6122,,Bayside City Council,Southern Metropolitan,10579
2,u,626000,10.5,,,,,,Bayside City Council,Southern Metropolitan,10579
4,h,2720000,10.3,3,2,792,,,Bayside City Council,Southern Metropolitan,6938
4,h,2000000,10.3,,,,,,Bayside City Council,Southern Metropolitan,6938
4,h,2525000,10.3,2,2,725,300,2000,Bayside City Council,Southern Metropolitan,6938
4,h,1900000,10.3,,,,,,Bayside City Council,Southern Metropolitan,6938
3,h,1675000,10.3,,,,,,Bayside City Council,Southern Metropolitan,6938
4,h,,10.3,3,2,644,,,Bayside City Council,Southern Metropolitan,6938
4,h,1900000,10.3,,,,,,Bayside City Council,Southern Metropolitan,6938
3,h,1300000,10.3,1,2,684,77,1940,Bayside City Council,Southern Metropolitan,6938
4,h,2450000,10.3,,,,,,Bayside City Council,Southern Metropolitan,6938
3,h,,5.2,1,1,269,,,Moreland City Council,Northern Metropolitan,11918
3,h,1275000,5.2,1,1,406,156,1900,Moreland City Council,Northern Metropolitan,11918
2,h,900000,5.2,1,0,191,,,Moreland City Council,Northern Metropolitan,11918
2,u,520000,5.2,1,1,0,,,Moreland City Council,Northern Metropolitan,11918
4,h,1275000,5.2,,,,,,Moreland City Council,Northern Metropolitan,11918
3,h,1204000,5.2,1,0,186,101,1890,Moreland City Council,Northern Metropolitan,11918
2,h,730000,5.2,1,0,190,,,Moreland City Council,Northern Metropolitan,11918
3,h,,4,1,0,190,132,1915,Moreland City Council,Northern Metropolitan,5533
3,h,1075000,4,,,,,,Moreland City Council,Northern Metropolitan,5533
4,h,1268000,5.2,2,2,645,217,1950,Moreland City Council,Northern Metropolitan,7082
3,h,1445000,5.2,1,2,613,112,1950,Moreland City Council,Northern Metropolitan,7082
2,u,480000,5.2,,,,,,Moreland City Council,Northern Metropolitan,7082
3,h,796000,12.1,2,2,534,,,Banyule City Council,Northern Metropolitan,10175
4,h,769000,12.1,2,2,662,,,Banyule City Council,Northern Metropolitan,10175
3,h,690000,12.1,1,2,513,,,Banyule City Council,Northern Metropolitan,10175
5,h,,12.1,,,,,,Banyule City Council,Northern Metropolitan,10175
3,h,960000,12.1,,,,,,Banyule City Council,Northern Metropolitan,10175
8,h,,12.1,3,2,585,,2000,Banyule City Council,Northern Metropolitan,10175
3,h,1325000,10.4,1,1,756,,,Monash City Council,Southern Metropolitan,5678
3,h,1052000,10.4,1,0,801,,,Monash City Council,Southern Metropolitan,5678
4,h,,14.7,2,2,202,180,2010,Whitehorse City Council,Eastern Metropolitan,4048
3,u,,14.7,1,2,204,,1970,Whitehorse City Council,Eastern Metropolitan,4048
